benchmark,CARE,LFU,LRU,Rand,SRRIP
blackscholes_8c_simlarge,0.007249120150379602,0.0072486278918941745,0.0072486278794048455,0.007908041594307993,0.0072486278918941745
bodytrack_8c_simlarge,0.03568172839390746,0.04248643745342059,0.0452411007373087,0.04211099174624562,0.0291139791718593
bzip2,5.5719307787985075,2.7244901347673296,3.007741344581862,4.191947726350459,2.6312820467959765
cactusADM,8.53930252147798,4.771317832441672,4.806059450443611,4.768191826632819,4.710221803952687
calculix,0.0588789513647764,0.05889538672435789,0.05889538672435789,0.0628291556877283,0.0590138684590671
canneal_8c_simlarge,13.812553960928502,11.85082316218502,13.236888216382063,14.22298471970965,11.92051500238145
fluidanimate_8c_simlarge,1.2712210923818277,0.8777435641605924,0.8981704030484875,0.892925313065572,0.8806671585376672
gcc,24.836233348874227,3.361288526698573,3.286605850783151,3.6451754948753337,2.941964792595127
hmmer,1.5832620351311892,1.316545236041574,1.443581428240782,1.359733143796834,1.5877762250094765
lbm,50.57724622869427,30.961920980974796,30.961920980974796,31.29289170736125,30.983361796607934
leslie3d,26.919518358016965,23.812409529171475,23.81638137048861,23.96668384404588,23.875357114304926
libquantum,24.196203580581912,25.04555119700755,25.04555119700755,25.050500081046117,25.05039176495469
mcf,85.59720784640655,77.20551426516231,80.90341543407915,83.55496788783529,76.77361995115184
milc,21.569208388289027,14.943544773094802,14.943544773094802,14.94942043341475,14.951750297634122
namd,0.3753084517589394,0.3715794874844714,0.3715750969778109,0.38917732856326714,0.2691176270186059
sjeng,0.3705945984557432,0.36191117778795867,0.36200653249607073,0.3853069059855449,0.36898949602302156
soplex,31.02204959589604,21.763959164341777,22.3939042683847,23.493208727719477,21.231277135489318
streamcluster_8c_simlarge,1.518847306984901,3.696801772740438,7.818007592842185,1.701447919789233,1.9358119565822085
swaptions_8c_simlarge,0.002242195754626558,0.0022439903485975106,0.002243990262428655,0.002316770500097868,0.0022435524914298627
x264_8c_simlarge,2.7761562827240174,0.7873321475547543,0.6861560377736654,0.9308044827289266,0.6604790734862895
xalan,6.054800860676222,2.001424787814043,2.0901202238584613,2.26678406963178,1.5329681245448628
