repl,bench,cycles,instrs,ipc,l1i_misses,l1i_mpki,l1d_misses,l1d_mpki,l2_misses,l2_mpki,l3_misses,l3_mpki
LFU,blackscholes,3181521145,4062699968,1.2769677719680848,956,0.00023531149421073861,4085822,1.0056912969655947,416300,0.10246880234302354,29452,0.007249366242149241
LFU,bodytrack,3035373801,5000102693,1.6472774099034269,6139875,1.2279497796306562,49562524,9.912301215210261,3376317,0.675249531319976,169746,0.033948502745281516
LFU,bzip2,114628813,100008794,0.8724577301520169,162,0.001619857549727077,3028296,30.28029715066857,1970323,19.701497450314218,271722,2.7169810686848197
LFU,cactusADM,94095561,100003824,1.0627900289579015,263,0.002629899432645696,757506,7.574770340782169,500522,5.005028607706041,477156,4.7713775425227745
LFU,calculix,50472154,100021040,1.9817073786864734,457,0.0045690386742629355,42845,0.4283598730827034,6305,0.06303673707052036,5890,0.058887610046846145
LFU,canneal,5818153269,1721891192,0.29595150082664484,3584,0.0020814323324559987,37974840,22.054146148393794,36428152,21.155896591635507,20406029,11.850939882152554
LFU,dedup,3981087621,5000075114,1.2559570624934004,763101,0.15261790725170293,19693598,3.938660430292088,6829364,1.3658522810743519,5994352,1.1988523898803174
LFU,fluidanimate,3746527767,5000101913,1.3345962512387273,2247,0.0004493908402462596,7123217,1.4246143626552916,6031208,1.206217014161087,4384966,0.8769753249627414
LFU,freqmine,4459395044,5000050077,1.1212395465450942,6230,0.0012459875209365828,27007965,5.401538901427287,9581889,1.9163586069020084,5311301,1.0622495611457452
LFU,gcc,141194154,100001586,0.708255853142475,702416,7.024048598589227,3061962,30.619134380528727,1756565,17.565371413209387,336053,3.360476702839493
LFU,hmmer,68017220,100013106,1.470408611231097,1900,0.018997510186314983,529672,5.296025902845173,319947,3.1990507324110102,134095,1.3407742781231093
LFU,lbm,173908814,100002573,0.5750287791623948,120,0.001199969124794419,5094726,50.9459491607281,3096386,30.963063320380765,3096298,30.962183343022584
LFU,libquantum,195649922,100005358,0.511144379602666,39,0.00038997910491955843,2504644,25.045098083644678,2504683,25.045488062749598,2504683,25.045488062749598
LFU,mcf,775712613,100001005,0.12891501739704211,47,0.0004699952765474707,12716258,127.16130202891459,10217089,102.16986319287491,7745071,77.44993162818714
