repl,bench,cycles,instrs,ipc,l1i_misses,l1i_mpki,l1d_misses,l1d_mpki,l2_misses,l2_mpki,l3_misses,l3_mpki
CARE,blackscholes,3181658730,4062699954,1.2769125474371665,954,0.00023481921155923,4086368,1.005825693816423,411809,0.10136338018133643,29450,0.007248873983668054
CARE,bodytrack,3045457670,5000028930,1.6417988597424833,6175289,1.235050653996916,49754254,9.950793224710402,4069601,0.8139154906849708,242252,0.0484501196676076
CARE,bzip2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CARE,cactusADM,121077601,100006053,0.8259665881553104,53962,0.5395873387783837,943597,9.435398875306078,884187,8.841334834002499,853063,8.530113672219422
CARE,calculix,50451012,100009419,1.9823074906802662,461,0.004609565824994944,44691,0.4468679095116031,6373,0.06372399783664377,5904,0.05903443954613915
CARE,canneal,6781315217,1721896028,0.25391770960349974,3621351,2.103118272597583,40002783,23.231822566234527,42560263,24.71709226801236,28617220,16.61959812593284
CARE,fluidanimate,4094657239,5000018942,1.2211080562194037,264077,0.052815199914896645,8450646,1.6901227971387953,8053499,1.6106936980479942,6548244,1.3096438385452822
CARE,gcc,258610854,100003095,0.3866933404117679,801166,8.011412046797153,2981556,29.814637236977514,2824327,28.24239589784696,2386399,23.863251432368166
CARE,hmmer,80066085,100001365,1.2489853225619811,2159,0.02158970530052265,582040,5.820320552624457,399947,3.9994154079796815,239362,2.393587327532979
CARE,lbm,184964523,100001897,0.5406544745880809,655,0.006549875748857044,5056907,50.56811072293958,4783304,47.832132624444114,4695300,46.95210931848623
CARE,leslie3d,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CARE,libquantum,190854440,100000587,0.5239625915959828,2432,0.024319857242437987,2505346,25.053312937053057,2507778,25.077632794295496,2408270,24.08255863538081
CARE,mcf,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CARE,milc,215181156,100004613,0.46474614626570737,15359,0.15358291522012088,2155545,21.554455692958886,2170800,21.706998656151992,2147622,21.475229347670194
CARE,namd,53730718,100005491,1.8612349643271098,3066,0.03065831655183814,41633,0.416307140574911,28404,0.2840244042199643,26968,0.26966519268426975
CARE,sjeng,87771769,100008314,1.139413220667798,77734,0.7772753773251292,137744,1.3773254891588314,50026,0.5002184118412395,46301,0.4629715085487793
CARE,soplex,342664583,100001624,0.2918353076483542,62813,0.6281197993344587,4250590,42.50520971539422,3853615,38.53552418308727,3358898,33.58843452382333
CARE,streamcluster,4195805619,5000027076,1.1916727155705733,678873,0.13577386475736758,77321179,15.464152058523773,77731257,15.5461672143953,7520660,1.504123854868501
CARE,swaptions,3213922750,5000008767,1.5557339600026168,363664,0.0727326724705321,19543779,3.9087489463995975,18354,0.0036707935636305653,11220,0.002243996065377299
CARE,x264,4724973919,5000013779,1.0582098154857562,40154676,8.030913068409767,46712761,9.342526453865599,36297711,7.259522194208737,24127017,4.825390102189957
CARE,xalan,95348081,100003218,1.0488225557470843,440388,4.403738287701902,1320422,13.203795101873622,599301,5.992817151144076,402033,4.020200629943728
LFU,blackscholes,3181472365,4062699926,1.2769873379051022,955,0.0002350653549104872,4085632,1.0056445404331347,410953,0.10115268355657532,29449,0.0072486278918941745
LFU,bodytrack,3030733798,5000089740,1.6497950903175957,6113209,1.222619856418817,49533774,9.906576996756062,3205561,0.6411006935247526,212436,0.04248643745342059
LFU,bzip2,114658248,100008437,0.8722306397006868,162,0.001619863332130668,3028258,30.28002527426761,1968513,19.68346930569468,272472,2.7244901347673296
